Ticker,Option Type,Expiration,Strike,Underlying Price,Current Premium,Underlying Gain %,Premium % Gain,Implied Volatility,Bid Date,Volume
dg,put,2025-11-21,90.0,110.5,1.14,10.0,-97.39,37.64,2025-08-26 20:00:00,31.0
dks,put,2025-11-21,195.0,226.81,4.9,10.0,-93.45,40.03,2025-08-26 19:59:55,30.0
dks,put,2025-11-21,190.0,226.81,4.15,10.0,-94.4,41.35,2025-08-26 19:59:55,0.0
dks,put,2025-12-19,195.0,226.81,8.2,10.0,-78.84,44.15,2025-08-26 19:59:59,4.0
dks,put,2025-12-19,190.0,226.81,6.7,10.0,-81.51,43.92,2025-08-26 19:59:59,25.0
dell,put,2025-11-21,110.0,130.99,3.0,10.0,-92.23,44.92,2025-08-26 20:00:00,21.0
dell,put,2025-11-21,115.0,130.99,4.07,10.0,-88.75,44.19,2025-08-26 19:59:58,8.0
dell,put,2025-12-19,110.0,130.99,4.35,10.0,-77.62,46.95,2025-08-26 19:59:58,0.0
dell,put,2025-12-19,115.0,130.99,6.1,10.0,-75.25,46.33,2025-08-26 19:59:58,4.0
afrm,put,2025-11-21,67.5,77.95,6.05,10.0,-72.67,75.79,2025-08-26 20:00:00,0.0
afrm,put,2025-11-21,65.0,77.95,5.12,10.0,-75.38,76.73,2025-08-26 20:00:00,115.0
afrm,put,2025-12-19,67.5,77.95,6.65,10.0,-59.14,71.01,2025-08-26 20:00:00,6.0
afrm,put,2025-12-19,65.0,77.95,5.65,10.0,-60.63,72.13,2025-08-26 20:00:00,6.0
mrvl,put,2025-11-21,65.0,74.26,3.45,10.0,-82.49,54.62,2025-08-26 19:59:59,1028.0
mrvl,put,2025-11-21,60.0,74.26,2.07,10.0,-87.89,56.51,2025-08-26 19:59:59,88.0
mrvl,put,2025-12-19,65.0,74.26,4.6,10.0,-66.76,56.39,2025-08-26 20:00:00,116.0
mrvl,put,2025-12-19,60.0,74.26,3.0,10.0,-73.71,56.98,2025-08-26 19:59:59,258.0
ulta,put,2025-12-19,445.0,526.06,16.04,10.0,-90.73,37.13,2025-08-26 19:59:54,0.0
ulta,put,2025-12-19,450.0,526.06,11.6,10.0,-86.05,36.46,2025-08-26 19:59:58,0.0
gap,put,2025-12-19,18.0,21.58,0.91,10.0,-73.42,53.31,2025-08-26 19:59:59,16.0
gap,put,2025-12-19,19.0,21.58,1.52,10.0,-75.08,52.45,2025-08-26 20:00:00,0.0
baba,put,2025-12-19,105.0,124.19,24.35,10.0,-99.99,19.67,2024-11-22 14:59:34,
baba,put,2025-12-19,105.0,124.19,2.57,10.0,-87.88,36.34,2025-08-26 19:59:59,6.0
baba,put,2025-11-21,105.0,124.19,2.0,10.0,-95.42,38.22,2025-08-26 19:59:59,39.0
baba,put,2025-11-21,110.0,124.19,3.25,10.0,-92.49,38.15,2025-08-26 19:59:59,357.0
nvda,call,2026-02-20,240.0,181.77,4.75,20.0,143.28,37.8,2025-08-26 19:59:59,61.0
nvda,call,2026-02-20,230.0,181.77,6.27,20.0,139.98,37.86,2025-08-26 19:59:59,649.0
nvda,call,2026-03-20,240.0,181.77,6.48,20.0,124.65,39.01,2025-08-26 19:59:59,1001.0
nvda,call,2026-03-20,230.0,181.77,8.18,20.0,123.37,39.26,2025-08-26 19:59:59,1360.0
crwd,call,2026-02-20,540.0,417.6,15.49,20.0,109.12,39.7,2025-08-26 19:59:59,0.0
crwd,call,2026-02-20,550.0,417.6,14.1,20.0,106.94,39.81,2025-08-26 19:59:56,0.0
crwd,call,2026-03-20,540.0,417.6,20.4,20.0,93.48,40.72,2025-08-26 19:59:59,0.0
crwd,call,2026-03-20,550.0,417.6,18.35,20.0,108.31,42.5,2025-08-26 19:59:59,1.0
snow,call,2026-02-20,250.0,194.35,8.0,20.0,111.95,42.42,2025-08-26 19:59:59,12.0
snow,call,2026-02-20,260.0,194.35,6.27,20.0,114.59,42.02,2025-08-26 19:59:59,10.0
snow,call,2026-03-20,250.0,194.35,10.45,20.0,104.97,45.13,2025-08-26 19:59:59,7.0
snow,call,2026-03-20,260.0,194.35,9.35,20.0,88.49,44.49,2025-08-26 19:59:59,100.0
five,call,2026-02-20,185.0,141.98,5.85,20.0,105.75,43.68,2025-08-26 19:59:57,0.0
five,call,2026-02-20,180.0,141.98,6.55,20.0,108.07,43.11,2025-08-26 19:59:50,0.0
five,call,2026-03-20,185.0,141.98,7.05,20.0,101.85,43.8,2025-08-26 19:59:14,0.0
five,call,2026-03-20,180.0,141.98,8.3,20.0,97.69,44.58,2025-08-26 19:59:50,0.0
bby,call,2026-03-20,95.0,73.67,1.66,20.0,262.21,35.98,2025-08-26 20:00:00,0.0
bby,call,2026-03-20,97.5,73.67,0.83,20.0,516.6,35.74,2025-08-26 19:59:54,0.0
dg,call,2026-02-20,145.0,110.5,2.3,20.0,148.6,32.26,2025-08-26 20:00:00,0.0
dg,call,2026-02-20,140.0,110.5,2.72,20.0,175.59,32.53,2025-08-26 20:00:00,0.0
dg,call,2026-03-20,145.0,110.5,2.65,20.0,189.97,34.53,2025-08-26 19:59:59,2.0
dg,call,2026-03-20,140.0,110.5,4.0,20.0,135.84,34.43,2025-08-26 19:59:59,0.0
dks,call,2026-03-20,290.0,226.81,7.95,20.0,143.21,35.86,2025-08-26 19:59:56,0.0
dks,call,2026-03-20,300.0,226.81,4.58,20.0,245.24,35.74,2025-08-26 19:59:55,0.0
dell,call,2026-03-20,170.0,130.99,5.61,20.0,115.59,40.55,2025-08-26 19:59:58,0.0
dell,call,2026-03-20,175.0,130.99,4.5,20.0,132.15,40.59,2025-08-26 20:00:00,1.0
afrm,call,2026-02-20,100.0,77.95,8.65,20.0,40.01,67.22,2025-08-26 19:59:59,6.0
afrm,call,2026-02-20,105.0,77.95,7.45,20.0,39.18,67.1,2025-08-26 20:00:00,5.0
afrm,call,2026-03-20,100.0,77.95,9.38,20.0,44.21,65.79,2025-08-26 20:00:00,1.0
afrm,call,2026-03-20,105.0,77.95,8.55,20.0,36.49,65.23,2025-08-26 20:00:00,0.0
mrvl,call,2026-02-20,95.0,74.26,4.8,20.0,73.51,50.71,2025-08-26 19:59:59,3.0
mrvl,call,2026-02-20,100.0,74.26,3.75,20.0,75.82,50.5,2025-08-26 19:59:59,53.0
mrvl,call,2026-03-20,95.0,74.26,5.1,20.0,91.74,51.4,2025-08-26 20:00:00,0.0
mrvl,call,2026-03-20,100.0,74.26,4.65,20.0,72.55,51.28,2025-08-26 19:59:59,714.0
ulta,call,2026-03-20,680.0,526.06,11.6,20.0,197.5,30.96,2025-08-26 19:59:58,0.0
ulta,call,2026-03-20,700.0,526.06,8.25,20.0,232.99,30.52,2025-08-26 19:59:13,0.0
adsk,call,2026-03-20,370.0,282.45,5.45,20.0,157.43,27.45,2025-08-26 20:00:00,0.0
adsk,call,2026-03-20,360.0,282.45,6.2,20.0,168.82,26.57,2025-08-26 19:59:56,0.0
gap,call,2026-03-20,28.0,21.58,1.15,20.0,111.39,47.29,2025-08-26 19:59:57,0.0
gap,call,2026-03-20,29.0,21.58,1.01,20.0,107.27,47.27,2025-08-26 19:59:59,0.0
baba,call,2026-02-20,160.0,124.19,4.5,20.0,135.75,42.01,2025-08-26 19:59:59,586.0
baba,call,2026-02-20,165.0,124.19,3.97,20.0,128.7,42.43,2025-08-26 19:59:59,7.0
baba,call,2026-03-20,160.0,124.19,5.4,20.0,131.18,42.15,2025-08-26 19:59:59,6.0
baba,call,2026-03-20,165.0,124.19,4.75,20.0,130.53,42.65,2025-08-26 19:59:59,5.0
nvda,call,2026-02-20,240.0,181.77,4.75,-10.0,-84.85,37.8,2025-08-26 19:59:59,61.0
nvda,call,2026-02-20,230.0,181.77,6.27,-10.0,-81.81,37.86,2025-08-26 19:59:59,649.0
nvda,call,2026-03-20,240.0,181.77,6.48,-10.0,-77.56,39.01,2025-08-26 19:59:59,1001.0
nvda,call,2026-03-20,230.0,181.77,8.18,-10.0,-73.87,39.26,2025-08-26 19:59:59,1360.0
crwd,call,2026-02-20,540.0,417.6,15.49,-10.0,-83.14,39.7,2025-08-26 19:59:59,0.0
crwd,call,2026-02-20,550.0,417.6,14.1,-10.0,-84.37,39.81,2025-08-26 19:59:56,0.0
crwd,call,2026-03-20,540.0,417.6,20.4,-10.0,-76.75,40.72,2025-08-26 19:59:59,0.0
crwd,call,2026-03-20,550.0,417.6,18.35,-10.0,-73.52,42.5,2025-08-26 19:59:59,1.0
snow,call,2026-02-20,250.0,194.35,8.0,-10.0,-78.69,42.42,2025-08-26 19:59:59,12.0
snow,call,2026-02-20,260.0,194.35,6.27,-10.0,-81.79,42.02,2025-08-26 19:59:59,10.0
snow,call,2026-03-20,250.0,194.35,10.45,-10.0,-68.08,45.13,2025-08-26 19:59:59,7.0
snow,call,2026-03-20,260.0,194.35,9.35,-10.0,-74.25,44.49,2025-08-26 19:59:59,100.0
five,call,2026-02-20,185.0,141.98,5.85,-10.0,-78.48,43.68,2025-08-26 19:59:57,0.0
five,call,2026-02-20,180.0,141.98,6.55,-10.0,-77.01,43.11,2025-08-26 19:59:50,0.0
five,call,2026-03-20,185.0,141.98,7.05,-10.0,-71.57,43.8,2025-08-26 19:59:14,0.0
five,call,2026-03-20,180.0,141.98,8.3,-10.0,-68.94,44.58,2025-08-26 19:59:50,0.0
bby,call,2026-03-20,95.0,73.67,1.66,-10.0,-69.08,35.98,2025-08-26 20:00:00,0.0
bby,call,2026-03-20,97.5,73.67,0.83,-10.0,-53.59,35.74,2025-08-26 19:59:54,0.0
dg,call,2026-02-20,145.0,110.5,2.3,-10.0,-91.72,32.26,2025-08-26 20:00:00,0.0
dg,call,2026-02-20,140.0,110.5,2.72,-10.0,-88.14,32.53,2025-08-26 20:00:00,0.0
dg,call,2026-03-20,145.0,110.5,2.65,-10.0,-79.89,34.53,2025-08-26 19:59:59,2.0
dg,call,2026-03-20,140.0,110.5,4.0,-10.0,-81.15,34.43,2025-08-26 19:59:59,0.0
dks,call,2026-03-20,290.0,226.81,7.95,-10.0,-78.75,35.86,2025-08-26 19:59:56,0.0
dks,call,2026-03-20,300.0,226.81,4.58,-10.0,-73.95,35.74,2025-08-26 19:59:55,0.0
dell,call,2026-03-20,170.0,130.99,5.61,-10.0,-74.66,40.55,2025-08-26 19:59:58,0.0
dell,call,2026-03-20,175.0,130.99,4.5,-10.0,-74.99,40.59,2025-08-26 20:00:00,1.0
afrm,call,2026-02-20,100.0,77.95,8.65,-10.0,-63.4,67.22,2025-08-26 19:59:59,6.0
afrm,call,2026-02-20,105.0,77.95,7.45,-10.0,-65.99,67.1,2025-08-26 20:00:00,5.0
afrm,call,2026-03-20,100.0,77.95,9.38,-10.0,-57.39,65.79,2025-08-26 20:00:00,1.0
afrm,call,2026-03-20,105.0,77.95,8.55,-10.0,-62.23,65.23,2025-08-26 20:00:00,0.0
mrvl,call,2026-02-20,95.0,74.26,4.8,-10.0,-72.37,50.71,2025-08-26 19:59:59,3.0
mrvl,call,2026-02-20,100.0,74.26,3.75,-10.0,-75.51,50.5,2025-08-26 19:59:59,53.0
mrvl,call,2026-03-20,95.0,74.26,5.1,-10.0,-60.9,51.4,2025-08-26 20:00:00,0.0
mrvl,call,2026-03-20,100.0,74.26,4.65,-10.0,-68.16,51.28,2025-08-26 19:59:59,714.0
ulta,call,2026-03-20,680.0,526.06,11.6,-10.0,-85.2,30.96,2025-08-26 19:59:58,0.0
ulta,call,2026-03-20,700.0,526.06,8.25,-10.0,-86.75,30.52,2025-08-26 19:59:13,0.0
adsk,call,2026-03-20,370.0,282.45,5.45,-10.0,-93.14,27.45,2025-08-26 20:00:00,0.0
adsk,call,2026-03-20,360.0,282.45,6.2,-10.0,-92.54,26.57,2025-08-26 19:59:56,0.0
gap,call,2026-03-20,28.0,21.58,1.15,-10.0,-64.34,47.29,2025-08-26 19:59:57,0.0
gap,call,2026-03-20,29.0,21.58,1.01,-10.0,-67.69,47.27,2025-08-26 19:59:59,0.0
baba,call,2026-02-20,160.0,124.19,4.5,-10.0,-77.08,42.01,2025-08-26 19:59:59,586.0
baba,call,2026-02-20,165.0,124.19,3.97,-10.0,-79.48,42.43,2025-08-26 19:59:59,7.0
baba,call,2026-03-20,160.0,124.19,5.4,-10.0,-69.38,42.15,2025-08-26 19:59:59,6.0
baba,call,2026-03-20,165.0,124.19,4.75,-10.0,-71.15,42.65,2025-08-26 19:59:59,5.0
nvda,put,2026-02-20,145.0,181.77,5.77,15.0,-75.88,43.48,2025-08-26 19:59:59,6.0
nvda,put,2026-02-20,150.0,181.77,6.88,15.0,-74.26,42.78,2025-08-26 20:00:01,67.0
nvda,put,2026-03-20,145.0,181.77,7.0,15.0,-69.75,44.1,2025-08-26 19:59:59,103.0
nvda,put,2026-03-20,150.0,181.77,8.21,15.0,-68.22,43.43,2025-08-26 20:00:00,355.0
crwd,put,2026-02-20,330.0,417.6,12.75,15.0,-77.6,43.23,2025-08-26 19:59:59,0.0
crwd,put,2026-02-20,340.0,417.6,14.4,15.0,-75.36,42.63,2025-08-26 19:59:59,16.0
crwd,put,2026-03-20,330.0,417.6,15.34,15.0,-70.2,44.24,2025-08-26 19:59:59,16.0
crwd,put,2026-03-20,340.0,417.6,18.19,15.0,-68.22,44.26,2025-08-26 19:59:59,17.0
snow,put,2026-02-20,155.0,194.35,7.2,15.0,-72.83,46.46,2025-08-26 19:59:59,20.0
snow,put,2026-02-20,160.0,194.35,8.35,15.0,-66.28,47.82,2025-08-26 19:59:59,0.0
snow,put,2026-03-20,155.0,194.35,9.08,15.0,-65.42,48.23,2025-08-26 19:59:59,0.0
snow,put,2026-03-20,160.0,194.35,10.65,15.0,-63.59,48.12,2025-08-26 19:59:59,110.0
five,put,2026-02-20,115.0,141.98,8.8,15.0,-76.91,49.35,2025-08-26 19:59:13,0.0
five,put,2026-02-20,110.0,141.98,5.45,15.0,-71.19,50.43,2025-08-26 19:59:57,0.0
five,put,2026-03-20,115.0,141.98,8.01,15.0,-64.39,49.87,2025-08-26 19:59:59,0.0
five,put,2026-03-20,110.0,141.98,7.55,15.0,-69.11,51.25,2025-08-26 19:59:28,0.0
bby,put,2026-03-20,60.0,73.67,3.05,15.0,-72.36,42.02,2025-08-26 19:59:57,0.0
bby,put,2026-03-20,57.5,73.67,2.54,15.0,-76.66,42.09,2025-08-26 19:59:56,10.0
dg,put,2026-02-20,90.0,110.5,2.85,15.0,-82.86,36.86,2025-08-26 20:00:00,2.0
dg,put,2026-02-20,85.0,110.5,2.83,15.0,-90.03,37.66,2025-08-26 19:59:59,0.0
dg,put,2026-03-20,90.0,110.5,3.4,15.0,-75.34,37.96,2025-08-26 19:59:59,0.0
dg,put,2026-03-20,85.0,110.5,3.5,15.0,-84.38,39.0,2025-08-26 19:59:59,0.0
dks,put,2026-03-20,180.0,226.81,15.4,15.0,-85.47,42.73,2025-08-26 19:59:59,0.0
dks,put,2026-03-20,185.0,226.81,24.9,15.0,-88.52,42.97,2025-08-26 19:59:54,0.0
dell,put,2026-03-20,105.0,130.99,5.5,15.0,-70.07,44.54,2025-08-26 20:00:00,3.0
dell,put,2026-03-20,100.0,130.99,4.38,15.0,-72.15,45.48,2025-08-26 19:59:58,13.0
afrm,put,2026-02-20,62.5,77.95,6.95,15.0,-54.07,71.08,2025-08-26 20:00:00,0.0
afrm,put,2026-02-20,60.0,77.95,5.89,15.0,-54.29,71.81,2025-08-26 20:00:00,2.0
afrm,put,2026-03-20,62.5,77.95,8.6,15.0,-55.94,69.53,2025-08-26 20:00:00,0.0
afrm,put,2026-03-20,60.0,77.95,6.18,15.0,-47.49,70.25,2025-08-26 20:00:00,0.0
mrvl,put,2026-02-20,60.0,74.26,3.85,15.0,-66.58,52.4,2025-08-26 20:00:00,17.0
mrvl,put,2026-03-20,60.0,74.26,4.6,15.0,-60.1,53.53,2025-08-26 20:00:00,13.0
ulta,put,2026-03-20,420.0,526.06,13.09,15.0,-79.16,36.46,2025-08-26 19:59:58,4.0
ulta,put,2026-03-20,425.0,526.06,14.6,15.0,-77.9,36.83,2025-08-26 19:59:57,5.0
adsk,put,2026-03-20,230.0,282.45,5.9,15.0,-81.55,32.86,2025-08-26 19:59:59,0.0
adsk,put,2026-03-20,220.0,282.45,3.45,15.0,-77.13,34.11,2025-08-26 19:59:55,0.0
gap,put,2026-03-20,17.0,21.58,1.28,15.0,-69.12,51.24,2025-08-26 19:59:50,0.0
gap,put,2026-03-20,18.0,21.58,1.51,15.0,-64.09,50.43,2025-08-26 19:59:59,0.0
baba,put,2026-02-20,100.0,124.19,2.87,15.0,-84.8,36.16,2025-08-26 19:59:59,41.0
baba,put,2026-02-20,95.0,124.19,1.94,15.0,-87.52,36.41,2025-08-26 19:59:59,0.0
baba,put,2026-03-20,100.0,124.19,3.32,15.0,-81.06,35.61,2025-08-26 19:59:59,3.0
baba,put,2026-03-20,97.5,124.19,5.25,15.0,NA,0.0,,0.0
