Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Value ($),Run_Label
aapl,call,2025-08-15,245,20.89,202.67,222.94,0.77,0.54,64,45,10.0,-29.63,28.49,0.0736,-0.0274,0.76,0.79,0.77,2025-06-10 20:00:00,2025-06-10 20:00:00,124,100,70.37,Short-Term 
aapl,call,2025-08-15,240,18.42,202.67,222.94,1.06,1.0,64,45,10.0,-5.56,28.14,0.0974,-0.0335,1.06,1.08,1.06,2025-06-10 20:00:00,2025-06-10 20:00:00,684,100,94.44,Short-Term 
aapl,call,2025-09-19,245,20.89,202.67,222.94,1.55,2.71,99,45,10.0,74.68,26.96,0.1169,-0.0303,1.54,1.58,1.55,2025-06-10 19:59:59,2025-06-10 19:59:59,208,100,174.68,Short-Term 
aapl,call,2025-09-19,240,18.42,202.67,222.94,2.04,3.74,99,45,10.0,83.55,26.86,0.1469,-0.0355,2.04,2.08,2.04,2025-06-10 19:59:59,2025-06-10 19:59:59,2985,100,183.55,Short-Term 
msft,call,2025-08-15,565,19.98,470.92,518.01,0.32,0.32,64,45,10.0,0.45,20.09,0.022,-0.017,0.32,0.37,0.32,2025-06-10 19:59:59,2025-06-10 19:59:59,7,100,100.45,Short-Term 
msft,call,2025-08-15,570,21.04,470.92,518.01,0.33,0.22,64,45,10.0,-33.61,20.46,0.0189,-0.0152,0.25,0.3,0.33,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,66.39,Short-Term 
msft,call,2025-09-19,565,19.98,470.92,518.01,0.96,2.9,99,45,10.0,201.8,19.27,0.0499,-0.0266,0.91,0.97,0.96,2025-06-10 19:59:59,2025-06-10 19:59:59,1,100,301.8,Short-Term 
msft,call,2025-09-19,570,21.04,470.92,518.01,0.94,2.29,99,45,10.0,143.2,19.25,0.0415,-0.0229,0.74,0.81,0.94,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,243.2,Short-Term 
amd,call,2025-08-15,150,21.71,123.24,135.56,2.37,1.41,64,45,10.0,-40.7,46.13,0.1937,-0.0528,2.37,2.4,2.37,2025-06-10 20:00:00,2025-06-10 20:00:00,595,100,59.3,Short-Term 
amd,call,2025-08-15,145,17.66,123.24,135.56,3.0,2.4,64,45,10.0,-20.0,45.89,0.2432,-0.0602,3.1,3.2,3.0,2025-06-10 20:00:00,2025-06-10 20:00:00,343,100,80.0,Short-Term 
amd,call,2025-09-19,150,21.71,123.24,135.56,3.9,4.47,99,45,10.0,14.71,44.62,0.2522,-0.049,3.85,3.95,3.9,2025-06-10 19:59:59,2025-06-10 19:59:59,532,100,114.71,Short-Term 
amd,call,2025-09-19,145,17.66,123.24,135.56,4.89,5.94,99,45,10.0,21.38,44.56,0.3001,-0.0536,4.85,4.9,4.89,2025-06-10 20:00:00,2025-06-10 20:00:00,293,100,121.38,Short-Term 
nvda,call,2025-08-15,175,21.56,143.96,158.36,1.37,0.86,64,45,10.0,-36.86,36.99,0.1327,-0.0389,1.4,1.43,1.37,2025-06-10 19:59:59,2025-06-10 19:59:59,1971,100,63.14,Short-Term 
nvda,call,2025-08-15,170,18.09,143.96,158.36,1.95,1.59,64,45,10.0,-18.25,36.63,0.1735,-0.0462,1.93,1.99,1.95,2025-06-10 20:00:00,2025-06-10 20:00:00,950,100,81.75,Short-Term 
nvda,call,2025-09-19,175,21.56,143.96,158.36,3.63,4.4,99,45,10.0,21.19,40.53,0.226,-0.0492,3.5,3.7,3.63,2025-06-10 20:00:00,2025-06-10 20:00:00,1075,100,121.19,Short-Term 
nvda,call,2025-09-19,170,18.09,143.96,158.36,4.6,5.85,99,45,10.0,27.17,40.76,0.2704,-0.0547,4.55,4.65,4.6,2025-06-10 19:59:59,2025-06-10 19:59:59,3884,100,127.17,Short-Term 
u,call,2025-08-15,30,20.77,24.84,27.32,1.59,0.95,64,45,10.0,-39.97,76.51,0.3469,-0.0234,1.55,1.61,1.59,2025-06-10 19:59:59,2025-06-10 19:59:59,280,100,60.03,Short-Term 
u,call,2025-08-15,29,16.75,24.84,27.32,1.84,1.23,64,45,10.0,-33.24,75.26,0.3822,-0.0239,1.76,1.82,1.84,2025-06-10 19:59:59,2025-06-10 19:59:59,114,100,66.76,Short-Term 
u,call,2025-09-19,30,20.77,24.84,27.32,2.07,2.1,99,45,10.0,1.28,72.73,0.3936,-0.019,2.13,2.19,2.07,2025-06-10 19:59:58,2025-06-10 19:59:58,81,100,101.28,Short-Term 
u,call,2025-09-19,29,16.75,24.84,27.32,2.4,2.42,99,45,10.0,0.85,72.18,0.4263,-0.0193,2.22,2.43,2.4,2025-06-10 19:59:57,2025-06-10 19:59:57,30,100,100.85,Short-Term 
rddt,call,2025-08-15,140,19.57,117.09,128.8,7.4,4.64,64,45,10.0,-37.27,74.18,0.3504,-0.1076,6.9,7.45,7.4,2025-06-10 19:59:58,2025-06-10 19:59:58,77,100,62.73,Short-Term 
rddt,call,2025-08-15,145,23.84,117.09,128.8,6.0,3.22,64,45,10.0,-46.31,72.55,0.3038,-0.0992,6.0,6.4,6.0,2025-06-10 20:00:00,2025-06-10 20:00:00,3,100,53.69,Short-Term 
aapl,put,2025-08-15,160,21.05,202.67,222.94,0.94,0.0,64,45,10.0,-99.96,38.96,-0.0608,-0.0293,0.94,0.96,0.94,2025-06-10 20:00:00,2025-06-10 20:00:00,98,100,0.04,Short-Term 
aapl,put,2025-08-15,165,18.59,202.67,222.94,1.23,0.0,64,45,10.0,-99.94,37.42,-0.0791,-0.0343,1.22,1.25,1.23,2025-06-10 20:00:00,2025-06-10 20:00:00,80,100,0.06,Short-Term 
aapl,put,2025-09-19,160,21.05,202.67,222.94,1.71,0.08,99,45,10.0,-95.45,37.07,-0.0868,-0.029,1.71,1.75,1.71,2025-06-10 19:59:59,2025-06-10 19:59:59,24,100,4.55,Short-Term 
aapl,put,2025-09-19,165,18.59,202.67,222.94,2.18,0.12,99,45,10.0,-94.53,35.99,-0.1088,-0.033,2.15,2.19,2.18,2025-06-10 19:59:59,2025-06-10 19:59:59,74,100,5.47,Short-Term 
msft,put,2025-08-15,375,20.37,470.92,518.01,1.42,0.0,64,45,10.0,-99.99,34.37,-0.0472,-0.0491,1.39,1.45,1.42,2025-06-10 19:59:59,2025-06-10 19:59:59,150,100,0.01,Short-Term 
msft,put,2025-08-15,380,19.31,470.92,518.01,1.59,0.0,64,45,10.0,-99.99,33.58,-0.0531,-0.0526,1.55,1.6,1.59,2025-06-10 19:59:59,2025-06-10 19:59:59,77,100,0.01,Short-Term 
msft,put,2025-09-19,380,19.31,470.92,518.01,2.52,0.05,99,45,10.0,-98.0,30.28,-0.0686,-0.0458,2.38,2.45,2.52,2025-06-10 19:59:59,2025-06-10 19:59:59,16,100,2.0,Short-Term 
msft,put,2025-09-19,370,21.43,470.92,518.01,2.11,0.04,99,45,10.0,-98.26,31.61,-0.0558,-0.0409,1.94,2.02,2.11,2025-06-10 19:59:59,2025-06-10 19:59:59,8,100,1.74,Short-Term 
amd,put,2025-08-15,100,18.86,123.24,135.56,1.87,0.01,64,45,10.0,-99.26,49.79,-0.1302,-0.0399,1.84,1.88,1.87,2025-06-10 20:00:00,2025-06-10 20:00:00,366,100,0.74,Short-Term 
amd,put,2025-08-15,95,22.91,123.24,135.56,1.28,0.0,64,45,10.0,-99.65,51.69,-0.0924,-0.0326,1.26,1.28,1.28,2025-06-10 20:00:00,2025-06-10 20:00:00,275,100,0.35,Short-Term 
amd,put,2025-09-19,100,18.86,123.24,135.56,2.9,0.38,99,45,10.0,-86.82,47.53,-0.1577,-0.0343,2.84,2.88,2.9,2025-06-10 20:00:00,2025-06-10 20:00:00,1389,100,13.18,Short-Term 
amd,put,2025-09-19,95,22.91,123.24,135.56,1.99,0.22,99,45,10.0,-89.12,48.89,-0.1184,-0.0292,2.04,2.08,1.99,2025-06-10 20:00:00,2025-06-10 20:00:00,305,100,10.88,Short-Term 
nvda,put,2025-08-15,115,20.12,143.96,158.36,1.31,0.0,64,45,10.0,-99.8,44.35,-0.093,-0.0327,1.26,1.29,1.31,2025-06-10 20:00:00,2025-06-10 20:00:00,901,100,0.2,Short-Term 
nvda,put,2025-08-15,120,16.64,143.96,158.36,1.83,0.01,64,45,10.0,-99.56,42.74,-0.1291,-0.0396,1.82,1.85,1.83,2025-06-10 19:59:59,2025-06-10 19:59:59,1173,100,0.44,Short-Term 
nvda,put,2025-09-19,115,20.12,143.96,158.36,2.78,0.32,99,45,10.0,-88.59,46.5,-0.139,-0.0361,2.7,2.96,2.78,2025-06-10 19:59:59,2025-06-10 19:59:59,1337,100,11.41,Short-Term 
nvda,put,2025-09-19,116,19.42,143.96,158.36,2.94,0.33,99,45,10.0,-88.71,45.82,-0.1443,-0.0364,2.8,2.93,2.94,2025-06-10 19:59:59,2025-06-10 19:59:59,5,100,11.29,Short-Term 
u,put,2025-08-15,20,19.48,24.84,27.32,0.86,0.03,64,45,10.0,-96.01,70.03,-0.1842,-0.0143,0.61,0.96,0.86,2025-06-10 19:59:57,2025-06-10 19:59:57,13,100,3.99,Short-Term 
u,put,2025-08-15,19,23.51,24.84,27.32,0.57,0.01,64,45,10.0,-97.61,70.01,-0.1418,-0.0121,0.53,0.7,0.57,2025-06-10 19:59:57,2025-06-10 19:59:57,0,100,2.39,Short-Term 
u,put,2025-09-19,20,19.48,24.84,27.32,1.23,0.31,99,45,10.0,-74.78,67.1,-0.2061,-0.0117,1.18,1.25,1.23,2025-06-10 19:59:57,2025-06-10 19:59:57,0,100,25.22,Short-Term 
u,put,2025-09-19,19,23.51,24.84,27.32,0.94,0.2,99,45,10.0,-78.37,67.61,-0.1682,-0.0104,0.9,0.98,0.94,2025-06-10 19:59:58,2025-06-10 19:59:58,2,100,21.63,Short-Term 
rddt,put,2025-08-15,95,18.87,117.09,128.8,5.35,0.29,64,45,10.0,-94.66,75.61,-0.2028,-0.0775,4.95,5.1,5.35,2025-06-10 19:59:58,2025-06-10 19:59:58,21,100,5.34,Short-Term 
rddt,put,2025-08-15,90,23.14,117.09,128.8,3.95,0.13,64,45,10.0,-96.62,76.63,-0.1607,-0.0681,3.7,3.85,3.95,2025-06-10 19:59:59,2025-06-10 19:59:59,6,100,3.38,Short-Term 
aapl,call,2025-11-21,245,20.89,202.67,222.94,3.4,6.75,162,45,10.0,98.66,26.76,0.1919,-0.034,3.5,3.6,3.4,2025-06-10 20:00:00,2025-06-10 20:00:00,142,100,198.66,MShort-Term
aapl,call,2025-11-21,240,18.42,202.67,222.94,4.39,8.29,162,45,10.0,88.9,26.89,0.2261,-0.0379,4.35,4.45,4.39,2025-06-10 20:00:00,2025-06-10 20:00:00,107,100,188.9,MShort-Term
aapl,call,2025-12-19,245,20.89,202.67,222.94,4.17,8.27,190,45,10.0,98.25,26.45,0.2146,-0.0335,4.3,4.4,4.17,2025-06-10 19:59:59,2025-06-10 19:59:59,103,100,198.25,MShort-Term
aapl,call,2025-12-19,240,18.42,202.67,222.94,5.33,9.97,190,45,10.0,87.07,26.7,0.2498,-0.0371,5.25,5.35,5.33,2025-06-10 20:00:00,2025-06-10 20:00:00,1889,100,187.07,MShort-Term
msft,call,2025-12-19,565,19.98,470.92,518.01,5.05,13.04,190,45,10.0,158.27,20.29,0.1498,-0.0484,4.95,5.15,5.05,2025-06-10 19:59:59,2025-06-10 19:59:59,12,100,258.27,MShort-Term
msft,call,2025-12-19,570,21.04,470.92,518.01,4.5,11.75,190,45,10.0,161.01,20.3,0.1364,-0.0453,4.25,4.55,4.5,2025-06-10 19:59:59,2025-06-10 19:59:59,19,100,261.01,MShort-Term
amd,call,2025-11-21,150,21.71,123.24,135.56,7.0,9.15,162,45,10.0,30.66,45.1,0.3325,-0.0454,7.0,7.1,7.0,2025-06-10 20:00:00,2025-06-10 20:00:00,54,100,130.66,MShort-Term
amd,call,2025-11-21,145,17.66,123.24,135.56,8.2,10.83,162,45,10.0,32.11,45.04,0.3739,-0.0476,8.2,8.3,8.2,2025-06-10 20:00:00,2025-06-10 20:00:00,46,100,132.11,MShort-Term
amd,call,2025-12-19,150,21.71,123.24,135.56,8.2,10.75,190,45,10.0,31.07,44.73,0.3544,-0.0429,8.05,8.15,8.2,2025-06-10 20:00:00,2025-06-10 20:00:00,2220,100,131.07,MShort-Term
amd,call,2025-12-19,145,17.66,123.24,135.56,9.3,12.43,190,45,10.0,33.63,44.54,0.393,-0.0445,9.3,9.4,9.3,2025-06-10 20:00:00,2025-06-10 20:00:00,30,100,133.63,MShort-Term
nvda,call,2025-11-21,175,21.56,143.96,158.36,7.0,9.52,162,45,10.0,36.02,41.57,0.3119,-0.0478,7.0,7.55,7.0,2025-06-10 19:59:59,2025-06-10 19:59:59,237,100,136.02,MShort-Term
nvda,call,2025-11-21,170,18.09,143.96,158.36,8.35,11.38,162,45,10.0,36.32,42.1,0.3527,-0.0511,7.7,8.8,8.35,2025-06-10 19:59:59,2025-06-10 19:59:59,508,100,136.32,MShort-Term
nvda,call,2025-12-19,173,20.17,143.96,158.36,8.65,11.94,190,45,10.0,38.02,41.29,0.3487,-0.0464,8.65,9.0,8.65,2025-06-10 19:59:59,2025-06-10 19:59:59,25,100,138.02,MShort-Term
nvda,call,2025-12-19,172,19.48,143.96,158.36,8.77,12.49,190,45,10.0,42.44,41.82,0.3591,-0.0475,8.95,9.25,8.77,2025-06-10 19:59:59,2025-06-10 19:59:59,12,100,142.44,MShort-Term
u,call,2025-11-21,30,20.77,24.84,27.32,3.25,3.62,162,45,10.0,11.52,72.84,0.4595,-0.0157,3.2,3.35,3.25,2025-06-10 19:59:59,2025-06-10 19:59:59,16,100,111.52,MShort-Term
u,call,2025-11-21,29,16.75,24.84,27.32,3.4,3.97,162,45,10.0,16.84,72.71,0.4868,-0.0158,3.45,3.6,3.4,2025-06-10 19:59:59,2025-06-10 19:59:59,14,100,116.84,MShort-Term
u,call,2025-12-19,30,20.77,24.84,27.32,3.6,4.11,190,45,10.0,14.08,71.89,0.477,-0.0144,3.5,3.65,3.6,2025-06-10 19:59:58,2025-06-10 19:59:58,12,100,114.08,MShort-Term
u,call,2025-12-19,29,16.75,24.84,27.32,4.75,4.45,190,45,10.0,-6.27,71.74,0.5025,-0.0144,3.8,3.95,4.75,2025-06-10 19:59:57,2025-06-10 19:59:57,0,100,93.73,MShort-Term
rddt,call,2025-11-21,140,19.57,117.09,128.8,15.3,17.19,162,45,10.0,12.36,71.53,0.4636,-0.0727,14.65,15.4,15.3,2025-06-10 19:59:59,2025-06-10 19:59:59,4,100,112.36,MShort-Term
rddt,call,2025-11-21,145,23.84,117.09,128.8,14.3,15.43,162,45,10.0,7.91,71.23,0.4336,-0.0715,13.75,14.0,14.3,2025-06-10 19:59:58,2025-06-10 19:59:58,0,100,107.91,MShort-Term
aapl,put,2025-11-21,160,21.05,202.67,222.94,3.2,0.66,162,45,10.0,-79.31,35.76,-0.1206,-0.027,3.2,3.3,3.2,2025-06-10 19:59:59,2025-06-10 19:59:59,303,100,20.69,MShort-Term
aapl,put,2025-11-21,165,18.59,202.67,222.94,4.13,0.87,162,45,10.0,-78.95,34.96,-0.1443,-0.0296,3.85,3.95,4.13,2025-06-10 19:59:59,2025-06-10 19:59:59,3,100,21.05,MShort-Term
aapl,put,2025-12-19,160,21.05,202.67,222.94,3.8,0.96,190,45,10.0,-74.82,34.91,-0.1291,-0.0253,3.65,3.75,3.8,2025-06-10 19:59:59,2025-06-10 19:59:59,12,100,25.18,MShort-Term
aapl,put,2025-12-19,165,18.59,202.67,222.94,4.45,1.22,190,45,10.0,-72.6,34.15,-0.1526,-0.0275,4.4,4.5,4.45,2025-06-10 19:59:59,2025-06-10 19:59:59,31,100,27.4,MShort-Term
msft,put,2025-12-19,375,20.37,470.92,518.01,5.29,0.95,190,45,10.0,-82.04,29.08,-0.1026,-0.0413,5.15,5.3,5.29,2025-06-10 19:59:59,2025-06-10 19:59:59,4,100,17.96,MShort-Term
msft,put,2025-12-19,380,19.31,470.92,518.01,6.0,1.05,190,45,10.0,-82.54,28.6,-0.1111,-0.0428,5.65,5.8,6.0,2025-06-10 19:59:59,2025-06-10 19:59:59,17,100,17.46,MShort-Term
amd,put,2025-11-21,100,18.86,123.24,135.56,4.88,1.77,162,45,10.0,-63.72,47.55,-0.1928,-0.0297,4.8,4.9,4.88,2025-06-10 20:00:00,2025-06-10 20:00:00,823,100,36.28,MShort-Term
amd,put,2025-11-21,95,22.91,123.24,135.56,3.71,1.22,162,45,10.0,-67.11,48.23,-0.1538,-0.0263,3.7,3.8,3.71,2025-06-10 20:00:00,2025-06-10 20:00:00,327,100,32.89,MShort-Term
amd,put,2025-12-19,100,18.86,123.24,135.56,5.4,2.25,190,45,10.0,-58.3,46.35,-0.1987,-0.027,5.4,5.55,5.4,2025-06-10 19:59:59,2025-06-10 19:59:59,139,100,41.7,MShort-Term
